# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  5 19:33:53 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
K2-383 b,,,,,0.878000,0.049000,-0.060000,0,,,,
K2-384 b,,,,,0.348000,0.011000,-0.010000,0,3623.00,138.00,-138.00,0
K2-384 c,,,,,0.348000,0.011000,-0.010000,0,3623.00,138.00,-138.00,0
K2-384 c,,,,,0.257000,0.049000,-0.032000,0,,,,
K2-384 d,,,,,0.257000,0.049000,-0.032000,0,,,,
K2-384 d,,,,,0.348000,0.011000,-0.010000,0,3623.00,138.00,-138.00,0
K2-384 e,,,,,0.257000,0.049000,-0.032000,0,,,,
K2-384 e,,,,,0.348000,0.011000,-0.010000,0,3623.00,138.00,-138.00,0
K2-384 f,,,,,0.257000,0.032000,-0.032000,0,3860.00,,,0
K2-384 f,,,,,0.257000,0.049000,-0.032000,0,,,,
K2-384 f,,,,,0.348000,0.011000,-0.010000,0,3623.00,138.00,-138.00,0
K2-385 b,,,,,0.734000,0.039000,-0.016000,0,,,,
K2-385 b,,,,,0.761000,0.057000,-0.052000,0,4844.00,138.00,-138.00,0
K2-386 b,,,,,0.970000,0.023000,-0.022000,0,5749.00,22.00,-22.00,0
K2-386 b,,,,,1.012000,0.032000,-0.031000,0,,,,
K2-386 b,,,,,1.010000,0.030000,-0.030000,0,5592.00,,,0
K2-387 b,,,,,0.664000,0.098000,-0.020000,0,,,,
K2-387 b,,,,,0.350000,,,0,,,,
K2-387 b,,,,,0.585000,0.018000,-0.018000,0,3572.00,138.00,-138.00,0
K2-388 b,,,,,0.897000,0.058000,-0.053000,0,5367.00,138.00,-138.00,0
K2-388 b,,,,,0.897000,0.058000,-0.053000,0,5367.00,138.00,-138.00,0
K2-388 b,,,,,0.930000,0.050000,-0.050000,0,5289.00,120.90,-120.90,0
K2-389 b,,,,,1.084000,0.067000,-0.061000,0,5782.00,138.00,-138.00,0
K2-389 b,,,,,1.084000,0.067000,-0.061000,0,5782.00,138.00,-138.00,0
K2-389 c,,,,,1.084000,0.067000,-0.061000,0,5782.00,138.00,-138.00,0
K2-389 c,,,,,1.084000,0.067000,-0.061000,0,5782.00,138.00,-138.00,0
K2-39 b,,,,,2.970000,0.770000,-0.770000,0,4881.00,20.00,-20.00,0
K2-39 b,0.0620000000,0.0100000000,-0.0120000000,0,3.880000,0.480000,-0.420000,0,4881.00,20.00,-20.00,0
K2-39 b,0.0570800000,0.0009800000,-0.0009800000,0,2.590000,0.210000,-0.210000,0,4993.00,72.00,-72.00,0
K2-39 b,0.0574000000,0.0012000000,-0.0012000000,0,2.930000,0.210000,-0.210000,0,4912.00,60.00,-60.00,0
K2-39 b,,,,,3.120570,,,0,4911.00,25.00,-25.00,0
K2-39 b,,,,,0.740000,,,0,4843.00,,,0
K2-390 b,,,,,0.966000,0.059000,-0.056000,0,5558.00,138.00,-138.00,0
K2-390 b,,,,,0.980000,0.050000,-0.050000,0,5512.00,126.50,-126.50,0
K2-390 b,,,,,0.966000,0.059000,-0.056000,0,5558.00,138.00,-138.00,0
K2-391 b,,,,,0.566000,0.112000,-0.076000,0,5543.00,138.00,-138.00,0
K2-391 b,,,,,0.566000,0.112000,-0.076000,0,5543.00,138.00,-138.00,0
K2-392 b,,,,,1.058000,0.070000,-0.065000,0,5726.00,138.00,-138.00,0
K2-392 b,,,,,1.058000,0.070000,-0.065000,0,5726.00,138.00,-138.00,0
K2-393 b,,,,,1.071000,0.065000,-0.060000,0,5678.00,138.00,-138.00,0
K2-393 b,,,,,1.120000,0.060000,-0.060000,0,5540.00,,,0
K2-394 b,,,,,0.580000,0.070000,-0.060000,0,4490.00,,,0
K2-394 b,,,,,0.631000,0.044000,-0.040000,0,4938.00,138.00,-138.00,0
K2-394 b,,,,,0.700000,0.060000,-0.060000,0,4197.00,117.60,-117.60,0
K2-395 b,,,,,0.783000,0.054000,-0.051000,0,5007.00,138.00,-138.00,0
K2-395 b,,,,,0.783000,0.054000,-0.051000,0,5007.00,138.00,-138.00,0
K2-395 c,,,,,0.783000,0.054000,-0.051000,0,5007.00,138.00,-138.00,0
K2-395 c,,,,,0.783000,0.054000,-0.051000,0,5007.00,138.00,-138.00,0
K2-396 b,,,,,0.920000,0.062000,-0.057000,0,5236.00,138.00,-138.00,0
K2-396 b,,,,,0.920000,0.062000,-0.057000,0,5236.00,138.00,-138.00,0
K2-396 c,,,,,0.920000,0.062000,-0.057000,0,5236.00,138.00,-138.00,0
K2-397 b,,,,,0.966000,0.060000,-0.057000,0,5387.00,138.00,-138.00,0
K2-397 b,,,,,0.966000,0.060000,-0.057000,0,5387.00,138.00,-138.00,0
K2-398 b,,,,,1.239000,0.032000,-0.030000,0,5946.00,20.00,-20.00,0
K2-398 b,,,,,1.239000,0.032000,-0.030000,0,5946.00,20.00,-20.00,0
K2-398 c,,,,,1.239000,0.032000,-0.030000,0,5946.00,20.00,-20.00,0
K2-398 c,,,,,1.239000,0.032000,-0.030000,0,5946.00,20.00,-20.00,0
K2-4 b,,,,,0.684348,,,0,4120.00,122.00,-122.00,0
K2-4 b,,,,,0.620000,,,0,4077.00,,,0
K2-4 b,0.0715000000,0.0035000000,-0.0035000000,0,0.435000,0.060000,-0.060000,0,4044.00,81.00,-81.00,0
K2-4 b,0.0780000000,0.0030000000,-0.0030000000,0,0.569359,0.049000,-0.047474,0,4014.73,173.12,-154.57,0
K2-4 b,,,,,0.572000,0.085000,-0.050000,0,,,,
K2-4 b,0.0777000000,0.0012000000,-0.0012000000,0,0.600000,0.020000,-0.020000,0,4197.00,45.00,-43.00,0
K2-400 b,,,,,0.382000,0.012000,-0.012000,0,3578.00,138.00,-138.00,0
K2-400 b,,,,,0.382000,0.012000,-0.012000,0,3578.00,138.00,-138.00,0
K2-401 b,,,,,0.675000,0.051000,-0.046000,0,4213.00,138.00,-138.00,0
K2-401 b,,,,,0.675000,0.051000,-0.046000,0,4213.00,138.00,-138.00,0
K2-402 b,,,,,1.280000,0.089000,-0.082000,0,5716.00,138.00,-138.00,0
K2-402 b,,,,,1.280000,0.089000,-0.082000,0,5716.00,138.00,-138.00,0
K2-403 b,,,,,0.910000,0.050000,-0.050000,0,5468.00,125.90,-125.90,0
K2-403 b,,,,,0.886000,0.056000,-0.052000,0,5511.00,138.00,-138.00,0
K2-403 b,,,,,0.886000,0.056000,-0.052000,0,5511.00,138.00,-138.00,0
K2-404 b,,,,,0.552000,0.016000,-0.016000,0,3748.00,138.00,-138.00,0
K2-404 b,,,,,0.552000,0.016000,-0.016000,0,3748.00,138.00,-138.00,0
K2-405 b,,,,,0.765000,0.054000,-0.050000,0,4927.00,138.00,-138.00,0
K2-405 b,,,,,0.800000,0.050000,-0.050000,0,4870.00,126.50,-126.50,0
K2-405 b,,,,,0.765000,0.054000,-0.050000,0,4927.00,138.00,-138.00,0
K2-406 b,,,,,0.961000,0.058000,-0.054000,0,5784.00,138.00,-138.00,0
K2-406 b,,,,,0.961000,0.058000,-0.054000,0,5784.00,138.00,-138.00,0
K2-407 b,,,,,0.927000,0.058000,-0.052000,0,5563.00,138.00,-138.00,0
K2-407 b,,,,,0.927000,0.058000,-0.052000,0,5563.00,138.00,-138.00,0
K2-407 c,,,,,0.927000,0.058000,-0.052000,0,5563.00,138.00,-138.00,0
K2-407 c,,,,,0.927000,0.058000,-0.052000,0,5563.00,138.00,-138.00,0
K2-408 b,,,,,0.784000,0.051000,-0.047000,0,5335.00,138.00,-138.00,0
K2-408 b,,,,,0.784000,0.051000,-0.047000,0,5335.00,138.00,-138.00,0
K2-409 b,,,,,1.228000,0.077000,-0.072000,0,5742.00,138.00,-138.00,0
K2-409 b,,,,,1.228000,0.077000,-0.072000,0,5742.00,138.00,-138.00,0
K2-411 b,0.0511000000,0.0021000000,-0.0028000000,0,1.375000,0.068000,-0.068000,0,5711.00,105.00,-105.00,0
K2-412 b,0.0586000000,0.0032000000,-0.0033000000,0,0.977000,0.066000,-0.063000,0,5590.00,138.00,-138.00,0
K2-413 b,0.0117000000,0.0009000000,-0.0012000000,0,0.700000,0.055000,-0.048000,0,4116.00,138.00,-138.00,0
K2-413 c,0.0426000000,0.0016000000,-0.0019000000,0,0.700000,0.055000,-0.048000,0,4116.00,138.00,-138.00,0
K2-414 b,0.0487000000,0.0027000000,-0.0031000000,0,0.732000,0.055000,-0.052000,0,4343.00,138.00,-138.00,0
K2-414 c,0.0552000000,0.0017000000,-0.0023000000,0,0.732000,0.055000,-0.052000,0,4343.00,138.00,-138.00,0
K2-415 b,,,,,0.194357,0.005889,-0.005889,0,3166.00,157.00,-157.00,0
K2-415 b,0.0270000000,0.0002300000,-0.0002300000,0,0.196500,0.005800,-0.005800,0,3173.00,53.00,-53.00,0
K2-416 b,0.0880000000,0.0100000000,-0.0210000000,0,0.554000,0.017000,-0.017000,0,3746.00,72.00,-72.00,0
K2-417 b,0.0630000000,0.0060000000,-0.0140000000,0,0.577600,0.004000,-0.004000,0,3861.00,77.00,-77.00,0
K2-419 A b,,,,,0.539092,0.016876,-0.016876,0,3728.00,157.00,-157.00,0
K2-419 A b,,,,,0.550000,0.170000,-0.041000,0,,,,
K2-419 A b,,,,,0.530000,,,0,,,,
K2-419 A b,0.1208000000,0.0016000000,-0.0017000000,0,0.541000,0.017000,-0.017000,0,3711.00,88.00,-88.00,0
K2-419 A b,,,,,0.539092,0.016876,-0.016876,0,3728.00,157.00,-157.00,0
K2-419 A b,,,,,0.539092,0.016876,-0.016876,0,3728.00,157.00,-157.00,0
K2-42 b,,,,,0.690000,,,0,4476.00,,,0
K2-42 b,0.0617000000,0.0013000000,-0.0013000000,0,0.643000,0.039000,-0.039000,0,4613.00,71.00,-71.00,0
K2-42 b,,,,,0.658000,0.062000,-0.098000,0,,,,
K2-43 b,,,,,0.610000,0.051000,-0.029000,0,,,,
K2-43 b,0.0380000000,0.0010000000,-0.0010000000,0,0.587449,0.038851,-0.038697,0,3889.72,120.75,-112.52,0
K2-43 b,0.0378400000,0.0006300000,-0.0006300000,0,0.570000,0.030000,-0.030000,0,3939.00,87.00,-87.00,0
K2-43 b,,,,,0.563000,0.017267,-0.017267,0,3696.00,157.00,-157.00,0
K2-43 b,,,,,0.500000,,,0,3720.00,,,0
K2-43 b,,,,,0.542000,0.049000,-0.022000,0,3840.60,98.80,-49.50,0
K2-43 c,,,,,0.610000,0.051000,-0.029000,0,,,,
K2-43 c,,,,,0.542000,0.049000,-0.022000,0,3840.60,98.80,-49.50,0
K2-44 b,,,,,1.030000,,,0,5840.00,,,0
K2-44 b,,,,,1.561446,0.255936,-0.194060,0,5722.00,50.00,-50.00,0
K2-44 b,0.0651000000,0.0011000000,-0.0011000000,0,1.580000,0.150000,-0.150000,0,5912.00,51.00,-51.00,0
K2-44 b,,,,,1.617000,0.028000,-0.030000,0,,,,
K2-44 b,,,,,1.090000,0.200000,-0.110000,0,5989.00,100.00,-81.00,0
K2-44 b,0.0600000000,0.0019000000,-0.0029000000,0,1.580000,0.150000,-0.150000,0,5912.00,51.00,-51.00,0
K2-45 b,0.0250000000,0.0010000000,-0.0010000000,0,0.685548,0.056820,-0.044714,0,4262.10,200.91,-172.65,0
K2-45 b,0.0224000000,0.0012000000,-0.0012000000,0,0.445000,0.066000,-0.066000,0,4103.00,90.00,-90.00,0
K2-45 b,,,,,0.660000,,,0,4271.00,,,0
K2-45 b,,,,,0.729000,0.249000,-0.076000,0,,,,
K2-45 b,,,,,0.766495,,,0,4377.00,122.00,-122.00,0
K2-46 b,,,,,1.328888,0.160696,-0.149204,0,6114.00,50.00,-50.00,0
K2-46 b,0.1382100000,0.0009600000,-0.0009600000,0,1.290000,0.120000,-0.120000,0,6256.00,37.00,-37.00,0
K2-46 b,,,,,1.120000,0.260000,-0.140000,0,6445.00,81.00,-111.00,0
K2-46 b,,,,,1.320000,,,0,6234.00,,,0
K2-46 b,,,,,1.250000,0.160000,-0.230000,0,,,,
K2-47 b,,,,,0.730000,,,0,4810.00,,,0
K2-47 b,,,,,0.774000,0.008000,-0.010400,0,,,,
K2-47 b,0.1779000000,0.0016000000,-0.0016000000,0,0.760000,0.030000,-0.030000,0,5054.00,82.00,-82.00,0
K2-48 b,,,,,0.662000,0.035000,-0.051000,0,,,,
K2-48 b,0.1344000000,0.0012000000,-0.0012000000,0,0.730000,0.020000,-0.020000,0,4899.00,78.00,-78.00,0
K2-48 b,,,,,0.720000,,,0,4728.00,,,0
K2-49 b,,,,,0.670000,,,0,4329.00,,,0
K2-49 b,,,,,0.696000,0.049000,-0.030000,0,,,,
K2-49 b,0.0309000000,0.0029000000,-0.0029000000,0,0.450000,0.120000,-0.120000,0,4175.00,97.00,-97.00,0
K2-5 b,0.0532000000,0.0038000000,-0.0038000000,0,0.570000,0.120000,-0.120000,0,3930.00,375.00,-375.00,0
K2-5 b,,,,,0.532000,0.041000,-0.048000,0,,,,
K2-5 b,,,,,0.620000,,,0,4088.00,,,0
K2-5 b,0.0504000000,0.0014000000,-0.0014000000,0,0.462000,0.038000,-0.038000,0,4021.00,62.00,-62.00,0
K2-5 b,0.0509000000,0.0004000000,-0.0004000000,0,0.520000,0.010000,-0.010000,0,4102.00,45.00,-41.00,0
K2-5 c,,,,,0.532000,0.041000,-0.048000,0,,,,
K2-5 c,0.0783000000,0.0007000000,-0.0007000000,0,0.520000,0.010000,-0.010000,0,4102.00,45.00,-41.00,0
K2-5 c,0.0775000000,0.0022000000,-0.0022000000,0,0.462000,0.038000,-0.038000,0,4021.00,62.00,-62.00,0
K2-5 c,0.0818000000,0.0059000000,-0.0059000000,0,0.570000,0.120000,-0.120000,0,3930.00,375.00,-375.00,0
K2-50 b,,,,,0.650000,,,0,4252.00,,,0
K2-50 b,0.0705000000,0.0022000000,-0.0022000000,0,0.546000,0.050000,-0.050000,0,4326.00,128.00,-128.00,0
K2-50 b,,,,,0.634000,0.039000,-0.045000,0,,,,
K2-52 b,,,,,0.230000,,,0,3260.00,,,0
K2-52 b,0.0485000000,0.0031000000,-0.0031000000,0,1.490000,0.520000,-0.520000,0,6113.00,787.00,-787.00,0
K2-52 b,0.0540000000,0.0020000000,-0.0020000000,0,2.192000,0.280000,-0.232000,0,7147.00,483.00,-506.00,0
K2-52 b,,,,,2.070000,0.470000,-0.230000,0,,,,
K2-53 b,0.0975000000,0.0012000000,-0.0012000000,0,0.850000,0.050000,-0.050000,0,5269.00,79.00,-79.00,0
K2-53 b,0.0980000000,0.0010000000,-0.0010000000,0,0.807000,0.016000,-0.015000,0,5263.00,88.00,-86.00,0
K2-53 b,,,,,0.720000,,,0,4684.00,,,0
K2-53 b,,,,,0.713000,0.076000,-0.079000,0,,,,
K2-53 b,,,,,0.824666,0.069046,-0.055235,0,4555.00,148.47,-143.05,0
K2-54 b,0.0761000000,0.0013000000,-0.0013000000,0,0.643000,0.031000,-0.031000,0,3990.00,300.00,-300.00,0
K2-54 b,0.0671000000,0.0037000000,-0.0037000000,0,0.384000,0.052000,-0.052000,0,3798.00,113.00,-113.00,0
K2-55 b,,,,,0.740000,0.070000,-0.070000,0,4279.00,130.70,-130.70,0
K2-55 b,,,,,0.737576,0.063884,-0.073392,0,4279.00,152.76,-108.65,0
K2-55 b,,,,,0.650000,,,0,4237.00,,,0
K2-55 b,,,,,0.630000,0.050000,-0.050000,0,4456.00,148.00,-148.00,0
K2-55 b,0.0350000000,0.0010000000,-0.0010000000,0,0.715385,0.042897,-0.039639,0,4299.98,106.62,-100.01,0
K2-55 b,,,,,0.737576,0.063884,-0.073392,0,4279.00,152.76,-108.65,0
K2-55 b,0.0348600000,0.0007800000,-0.0007800000,0,0.630000,0.050000,-0.050000,0,4456.00,148.00,-148.00,0
K2-55 b,,,,,0.662000,0.044000,-0.042000,0,,,,
K2-57 b,,,,,0.680000,,,0,4388.00,,,0
K2-57 b,0.0746000000,0.0020000000,-0.0020000000,0,0.621000,0.049000,-0.049000,0,4434.00,61.00,-61.00,0
K2-57 b,0.0752000000,0.0012000000,-0.0011000000,0,0.671000,0.023000,-0.022000,0,4413.00,76.00,-76.00,0
K2-57 b,,,,,0.599000,0.034000,-0.043000,0,,,,
K2-58 b,,,,,0.836424,0.055855,-0.045753,0,5020.00,114.31,-133.83,0
K2-58 b,,,,,0.837000,0.033000,-0.019000,0,,,,
K2-58 b,0.0692000000,0.0021000000,-0.0021000000,0,0.860000,0.100000,-0.100000,0,5413.00,255.00,-255.00,0
K2-58 b,,,,,0.760000,,,0,4998.00,,,0
K2-58 b,,,,,0.803348,0.034461,-0.019839,0,5134.00,50.00,-50.00,0
K2-58 c,,,,,0.760000,,,0,4998.00,,,0
K2-58 c,,,,,0.837000,0.033000,-0.019000,0,,,,
K2-58 c,,,,,0.803348,0.034461,-0.019839,0,5134.00,50.00,-50.00,0
K2-58 c,0.0350000000,0.0011000000,-0.0011000000,0,0.860000,0.100000,-0.100000,0,5413.00,255.00,-255.00,0
K2-58 d,,,,,0.803348,0.034461,-0.019839,0,5134.00,50.00,-50.00,0
K2-58 d,,,,,0.837000,0.033000,-0.019000,0,,,,
K2-58 d,0.1517000000,0.0046000000,-0.0046000000,0,0.860000,0.100000,-0.100000,0,5413.00,255.00,-255.00,0
K2-58 d,,,,,0.760000,,,0,4998.00,,,0
K2-59 b,,,,,0.730000,,,0,4775.00,,,0
K2-59 b,,,,,0.640000,0.042000,-0.013000,0,,,,
K2-59 b,0.1354000000,0.0043000000,-0.0043000000,0,0.731000,0.072000,-0.072000,0,5055.00,93.00,-93.00,0
K2-59 c,,,,,0.640000,0.042000,-0.013000,0,,,,
K2-59 c,0.0905000000,0.0028000000,-0.0028000000,0,0.731000,0.072000,-0.072000,0,5055.00,93.00,-93.00,0
K2-59 c,,,,,0.730000,,,0,4775.00,,,0
K2-6 b,,,,,0.960000,,,0,5710.00,,,0
K2-6 b,0.1898000000,0.0056000000,-0.0056000000,0,0.960000,0.140000,-0.090000,0,5850.00,79.00,-98.00,0
K2-6 b,,,,,0.863020,0.034063,-0.030039,0,5617.00,53.00,-53.00,0
K2-6 b,,,,,0.864900,0.006400,-0.008700,0,,,,
K2-6 b,0.1882000000,0.0020000000,-0.0020000000,0,1.010000,0.080000,-0.080000,0,5767.00,58.00,-58.00,0
K2-60 b,,,,,1.454790,0.076465,-0.068756,0,5630.00,109.64,-100.55,0
K2-60 b,,,,,0.860000,,,0,5425.00,,,0
K2-60 b,,,,,1.454790,0.076465,-0.068756,0,5630.00,109.64,-100.55,0
K2-60 b,0.0417900000,0.0007700000,-0.0007700000,0,1.470000,0.150000,-0.150000,0,5749.00,98.00,-98.00,0
K2-60 b,,,,,1.525000,0.092000,-0.051000,0,,,,
K2-60 b,0.0450000000,0.0030000000,-0.0030000000,0,1.120000,0.050000,-0.050000,0,5500.00,100.00,-100.00,0
K2-60 b,,,,,1.450000,0.070000,-0.070000,0,5630.00,105.10,-105.10,0
K2-61 b,,,,,0.950000,,,0,5680.00,,,0
K2-61 b,,,,,1.046000,0.071000,-0.029000,0,,,,
K2-61 b,,,,,1.015751,0.110165,-0.057238,0,5761.00,50.00,-50.00,0
K2-61 b,,,,,1.001250,0.035806,-0.071531,0,5718.00,165.15,-90.95,0
K2-61 b,0.0392000000,0.0024000000,-0.0024000000,0,1.360000,0.410000,-0.410000,0,6293.00,338.00,-338.00,0
K2-62 b,,,,,0.695645,0.048036,-0.051783,0,4555.00,129.47,-106.60,0
K2-62 b,,,,,0.690000,,,0,4500.00,,,0
K2-62 b,,,,,0.647947,0.020911,-0.017813,0,4636.00,50.00,-50.00,0
K2-62 b,0.0636000000,0.0014000000,-0.0014000000,0,0.730000,0.050000,-0.050000,0,4880.00,216.00,-216.00,0
K2-62 b,,,,,0.577000,0.015000,-0.032000,0,,,,
K2-62 c,,,,,0.577000,0.015000,-0.032000,0,,,,
K2-62 c,0.1148000000,0.0025000000,-0.0025000000,0,0.730000,0.050000,-0.050000,0,4880.00,216.00,-216.00,0
K2-62 c,,,,,0.647947,0.020911,-0.017813,0,4636.00,50.00,-50.00,0
K2-62 c,,,,,0.690000,,,0,4500.00,,,0
K2-63 b,0.1627000000,0.0097000000,-0.0097000000,0,1.630000,0.480000,-0.480000,0,6771.00,303.00,-303.00,0
K2-63 b,,,,,1.269000,0.097000,-0.013000,0,,,,
K2-63 b,,,,,0.950000,,,0,5686.00,,,0
K2-63 c,,,,,0.950000,,,0,5686.00,,,0
K2-63 c,0.1890000000,0.0110000000,-0.0110000000,0,1.630000,0.480000,-0.480000,0,6771.00,303.00,-303.00,0
K2-63 c,,,,,1.269000,0.097000,-0.013000,0,,,,
K2-64 b,,,,,0.820000,,,0,5313.00,,,0
K2-64 b,,,,,0.875405,,,0,5391.00,122.00,-122.00,0
K2-64 b,,,,,0.867000,0.013000,-0.023000,0,,,,
K2-64 b,0.0619000000,0.0019000000,-0.0019000000,0,0.726000,0.080000,-0.080000,0,5312.00,82.00,-82.00,0
K2-65 b,0.1014000000,0.0039000000,-0.0039000000,0,0.840000,0.120000,-0.120000,0,5213.00,336.00,-336.00,0
K2-65 b,,,,,0.668753,0.023134,-0.021238,0,4799.00,50.00,-50.00,0
K2-65 b,,,,,,,,,,,,
K2-65 b,,,,,0.722000,0.039000,-0.041000,0,,,,
K2-65 b,,,,,0.720000,,,0,4711.00,,,0
K2-66 b,0.0606900000,0.0008700000,-0.0008700000,0,1.710000,0.140000,-0.140000,0,5958.00,75.00,-75.00,0
K2-66 b,0.0598300000,0.0007200000,-0.0007200000,0,1.670000,0.120000,-0.120000,0,5887.00,46.00,-46.00,0
K2-66 b,,,,,1.590000,,,0,6490.00,,,0
K2-68 b,,,,,0.655000,0.030000,-0.018000,0,,,,
K2-68 b,0.0708000000,0.0031000000,-0.0031000000,0,0.675000,0.086000,-0.086000,0,4746.00,96.00,-96.00,0
K2-68 b,,,,,0.720000,,,0,4720.00,,,0
K2-68 b,,,,,0.702294,0.021329,-0.020909,0,4893.00,50.00,-50.00,0
K2-69 b,0.0591000000,0.0025000000,-0.0025000000,0,0.491000,0.065000,-0.065000,0,4127.00,190.00,-190.00,0
K2-69 b,,,,,0.491000,0.055000,-0.076000,0,,,,
K2-69 b,,,,,0.610000,,,0,4059.00,,,0
K2-7 b,0.1867000000,0.0056000000,-0.0041000000,0,1.533000,0.082000,-0.074000,0,5700.00,140.00,-140.00,0
K2-7 b,0.1814000000,0.0043000000,-0.0043000000,0,0.960000,0.170000,-0.080000,0,5772.00,72.00,-91.00,0
K2-7 b,0.1864000000,0.0030000000,-0.0030000000,0,2.130000,0.220000,-0.220000,0,5715.00,68.00,-68.00,0
K2-7 b,,,,,1.597000,0.016000,-0.015000,0,,,,
K2-70 b,,,,,0.798574,0.034085,-0.021010,0,5131.00,50.00,-50.00,0
K2-70 b,0.1112000000,0.0040000000,-0.0040000000,0,0.930000,0.140000,-0.140000,0,5622.00,268.00,-268.00,0
K2-70 b,,,,,0.783000,0.060000,-0.032000,0,,,,
K2-70 b,,,,,0.792485,0.053288,-0.044189,0,5064.00,109.56,-134.45,0
K2-70 b,,,,,0.770000,,,0,5026.00,,,0
K2-71 b,,,,,0.570000,,,0,3891.00,,,0
K2-71 b,0.0559000000,0.0025000000,-0.0025000000,0,0.426000,0.049000,-0.049000,0,4006.00,133.00,-133.00,0
K2-72 b,0.0400000000,0.0040000000,-0.0050000000,0,0.330989,0.030366,-0.029936,0,3360.47,87.24,-86.34,0
K2-72 b,,,,,0.430000,,,0,3563.00,,,0
K2-72 b,0.0370000000,0.0047000000,-0.0047000000,0,0.232000,0.056000,-0.056000,0,3497.00,150.00,-150.00,0
K2-72 c,0.0780000000,0.0070000000,-0.0100000000,0,0.330989,0.030366,-0.029936,0,3360.47,87.24,-86.34,0
K2-72 c,0.0722000000,0.0091000000,-0.0091000000,0,0.232000,0.056000,-0.056000,0,3497.00,150.00,-150.00,0
K2-72 d,0.0500000000,0.0040000000,-0.0060000000,0,0.330989,0.030366,-0.029936,0,3360.47,87.24,-86.34,0
K2-72 d,0.0461000000,0.0058000000,-0.0058000000,0,0.232000,0.056000,-0.056000,0,3497.00,150.00,-150.00,0
K2-72 e,0.1060000000,0.0090000000,-0.0130000000,0,0.330989,0.030366,-0.029936,0,3360.47,87.24,-86.34,0
K2-72 e,0.0980000000,0.0120000000,-0.0120000000,0,0.232000,0.056000,-0.056000,0,3497.00,150.00,-150.00,0
K2-73 b,,,,,1.057210,0.053361,-0.041514,0,5865.00,128.19,-95.15,0
K2-73 b,,,,,1.079000,0.026000,-0.059000,0,,,,
K2-73 b,,,,,1.770000,,,0,6634.00,,,0
K2-73 b,,,,,1.051008,0.131147,-0.070573,0,5844.00,50.00,-50.00,0
K2-73 b,0.0761900000,0.0007200000,-0.0007200000,0,1.060000,0.070000,-0.070000,0,5922.00,76.00,-76.00,0
K2-73 b,,,,,1.057210,0.053361,-0.041514,0,5865.00,128.19,-95.15,0
K2-74 b,,,,,1.086156,0.138573,-0.111587,0,5929.00,60.00,-60.00,0
K2-74 b,0.1402000000,0.0015000000,-0.0015000000,0,0.980000,0.060000,-0.060000,0,6060.00,86.00,-86.00,0
K2-74 b,,,,,1.047000,0.094000,-0.032000,0,,,,
K2-74 b,,,,,1.010000,,,0,5804.00,,,0
K2-75 b,,,,,1.010000,,,0,5800.00,,,0
K2-75 b,,,,,1.492000,0.175000,-0.025000,0,,,,
K2-75 b,,,,,1.238022,0.161724,-0.105517,0,6022.00,51.00,-51.00,0
K2-75 b,0.0810000000,0.0014000000,-0.0014000000,0,1.560000,0.150000,-0.150000,0,5995.00,94.00,-94.00,0
K2-75 c,,,,,1.492000,0.175000,-0.025000,0,,,,
K2-75 c,0.1429000000,0.0025000000,-0.0025000000,0,1.560000,0.150000,-0.150000,0,5995.00,94.00,-94.00,0
K2-75 c,,,,,1.238022,0.161724,-0.105517,0,6022.00,51.00,-51.00,0
K2-75 c,,,,,1.010000,,,0,5800.00,,,0
K2-77 b,0.0760000000,0.0020000000,-0.0020000000,0,0.830000,0.080000,-0.080000,0,5297.00,251.00,-251.00,0
K2-77 b,,,,,0.793476,0.084278,-0.058983,0,4865.60,81.86,-121.16,0
K2-77 b,0.0753000000,0.0011000000,-0.0011000000,0,0.792000,0.027000,-0.025000,0,5160.00,130.00,-130.00,0
K2-77 b,,,,,0.783982,0.024020,-0.014492,0,5070.00,50.00,-50.00,0
K2-77 b,,,,,0.760000,0.030000,-0.030000,0,4970.00,45.00,-45.00,0
K2-77 b,,,,,0.793476,0.071631,-0.071631,0,4865.60,101.50,-101.50,0
K2-77 b,,,,,0.782000,0.031000,-0.024000,0,,,,
K2-79 b,,,,,1.334170,0.079759,-0.079759,0,5294.00,309.72,-309.72,0
